stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,platform_code,parent_station
1175,Abrud,,44.169632,28.59185,,,
1274,Abrud,,44.16962,28.591175,,,
1333,Acad. Nav. Mircea cel Batran,Academia Navala Mircea cel Batran,44.18474,28.621706,,,
1334,Academia Navala Mircea cel Batran,,44.184654,28.621868,,,
1176,Alba Iulia,,44.17033,28.60211,,,
1225,Alba Iulia,,44.173584,28.594603,,,
1226,Alba Iulia,,44.17434,28.59463,,,
1255,Alexandru Sahia,,44.228855,28.597094,,,
1056,Aqua Parc,,44.221985,28.628881,,,
1057,Aqua Parc,,44.222324,28.628986,,,
1319,Arcasului,,44.13935,28.631783,,,
1104,Atelierelor,,44.173496,28.641663,,,
1164,Atelierelor,,44.17356,28.641808,,,
1555,Auchan (C.L.),Auchan,44.13388,28.621176,,,
1313,Aurel Vlaicu,,44.192497,28.60384,,,
1314,Aurel Vlaicu,,44.19225,28.604244,,,
1169,Aurora,,44.158604,28.62862,,,
1081,B-dul Mamaia,,44.185905,28.647509,,,
1082,B-dul Mamaia,,44.186302,28.647991,,,
1020,Baba Novac,,44.183968,28.620384,,,
1021,Baba Novac,,44.18448,28.621044,,,
1243,Baba Novac,,44.191143,28.601809,,,
1244,Baba Novac,,44.191647,28.601849,,,
1297,Badea Cartan,,44.19904,28.617031,,,
1298,Badea Cartan,,44.198925,28.617157,,,
1245,Barbu Catargiu,,44.2172,28.603052,,,
1080,Biblioteca Judeteana,,44.18288,28.649567,,,
1148,Bifurcatie Cumpana,,44.13231,28.618011,,,
1289,Bravilor,,44.171505,28.620539,,,
1290,Bravilor,,44.17155,28.620764,,,
1318,Brizei,,44.143105,28.631804,,,
1159,Brotacei,,44.204952,28.623627,,,
1218,Brotacei,,44.20502,28.62346,,,
1108,Bucuresti,,44.176228,28.636072,,,
1109,Bucuresti,,44.176197,28.636034,,,
1047,C.A.Rosetti,,44.16273,28.63222,,,
1048,C.A.Rosetti,,44.162643,28.632235,,,
1165,C.Cultural Jean C-tin,C.Cultural Jean Constantin,44.17501,28.644535,,,
1103,C.Cultural Jean Constantin,,44.175674,28.645805,,,
1043,C.L.Poarta 1,,44.171127,28.659044,,,
1034,CT BUS S.A.,,44.159603,28.593426,,,
1035,CT BUS S.A.,,44.15949,28.59307,,,
1192,Calarasi,,44.185493,28.64486,,,
1200,Campinei,,44.15439,28.618265,,,
1201,Campinei,,44.154095,28.6188,,,
1277,Campus,,44.214127,28.624428,,,
995,Cap Linie Confort Urban - imbarcare,,44.151516,28.602587,,,
996,Cap Linie Confort Urban – debarcare,Confort Urban – debarcare,44.151554,28.60259,,,
592,Cap Linie Gara,,44.168995,28.632423,,,
999,Cap Linie Gara,,44.168507,28.632994,,,
1077,Cap Linie Halta Traian,,44.175518,28.607492,,,
1295,Cap Linie Henri Coanda,,44.19698,28.621763,,,
1278,Cap Linie Industriala - Imbarcare,,44.15906,28.586592,,,
1038,Cap Linie Industriala - debarcare,,44.15896,28.587172,,,
1039,Cap Linie Industriala -imbarcare,,44.158897,28.587353,,,
1074,Cap Linie Mamaia,,44.264294,28.618364,,,
1042,Cap Linie Poarta 1,,44.171097,28.659279,,,
1262,Cap Linie Sanatoriu,,44.231426,28.60687,,,
998,Cap Linie Sat Vacanta,,44.21563,28.628246,,,
1011,Cap Linie TOM,,44.211838,28.604485,,,
1220,Cap Linie Tomis Nord,,44.211155,28.62373,,,
997,Cap Linie Univ. Ovidius,Cap Linie Campus,44.215485,28.626139,,,
1259,Cap Linie Vivo,,44.200768,28.609125,,,
1266,Cap linie Palas - Debarcare,,44.16893,28.576609,,,
1186,Cap linie Poarta 2,,44.17514,28.65215,,,
1633,Capitol,Descriere statie,44.18608,28.645746,,,
1184,Caraiman,,44.157482,28.613258,,,
1199,Caraiman,,44.15713,28.613882,,,
1110,Casa de Cultura,,44.18082,28.63582,,,
1111,Casa de Cultura,,44.181526,28.635727,,,
1345,Casa de Cultura,,44.180023,28.636654,,,
1346,Casa de Cultura,,44.180103,28.637125,,,
1569,Casin,,44.206554,28.647139,,,
1062,Cazino,,44.23438,28.624084,,,
1063,Cazino,,44.235607,28.623526,,,
1623,Cazino,,44.171036,28.663063,,,
1036,Celco,,44.159218,28.590445,,,
1037,Celco,,44.15925,28.59002,,,
1178,Celulozei,,44.163933,28.590265,,,
1576,Chiliei,,44.19515,28.644196,,,
1320,Cimitirul Municipal,,44.191624,28.605549,,,
1321,Cimitirul Municipal,,44.19094,28.606813,,,
1089,Ciprian Porumbescu,,44.20063,28.64656,,,
1311,Cismea,,44.20622,28.613445,,,
1312,Cismea,,44.206043,28.613323,,,
1317,Col. Nat. Militar A. Ioan Cuza,Col. Nat. Militar „A. Ioan Cuza”,44.146034,28.631191,,,
1324,Col. Nat. Militar „Al. Ioan Cuza”,,44.145676,28.62706,,,
1112,Colegiul National de Arte,,44.184162,28.635447,,,
1113,Colegiul National de Arte,,44.18431,28.635382,,,
1144,Comarnic,,44.14552,28.610588,,,
1145,Comarnic,,44.14578,28.610365,,,
1168,Complex Abator,,44.160496,28.628847,,,
1173,Complex Abator,,44.16047,28.629007,,,
1275,Complex I.C.Bratianu,,44.170002,28.597525,,,
1276,Complex I.C.Bratianu,,44.17009,28.598331,,,
1292,Complex Intim,,44.171818,28.62514,,,
1233,Constanta,,44.2112,28.611225,,,
1149,Constanta Sud,,44.136284,28.619982,,,
1286,Cora,,44.170864,28.611708,,,
1291,Corbului,,44.17177,28.624748,,,
1236,Crisul Repede,,44.184082,28.598513,,,
1237,Crisul Repede,,44.18451,28.598665,,,
1030,Cumpenei,,44.161304,28.604338,,,
1031,Cumpenei,,44.16109,28.604317,,,
1182,Cumpenei,,44.160824,28.606703,,,
1222,Cumpenei,,44.162212,28.60424,,,
1118,Dacia,,44.195576,28.632145,,,
1155,Dacia,b-dul A.Lapusneanu,44.195915,28.631948,,,
1210,Dacia,,44.196095,28.63328,,,
1211,Dacia,,44.19638,28.63286,,,
1004,Delfinariu,,44.205025,28.645287,,,
1005,Delfinariu,,44.20446,28.64289,,,
1091,Delfinariu,,44.20558,28.644182,,,
1092,Delfinariu,,44.20594,28.643835,,,
1356,Dezrobirii,,44.176357,28.6149,,,
1357,Dezrobirii,,44.176674,28.614653,,,
1152,Dir. Sanitar-Vet.,Directia Sanitar-Veterinara,44.153435,28.628365,,,
1570,Directia Gen. de Asis. Sociala,Directia Generala de Asistenta Sociala,44.208523,28.646517,,,
1575,Directia Gen. de Asis. Sociala,Directia Generala de Asistenta Sociala,44.208027,28.646442,,,
1153,Directia Sanitar-Vet.,,44.154083,28.628733,,,
1161,Dispensarului,,44.212276,28.628595,,,
1162,Dispensarului,,44.211567,28.628553,,,
1181,Dobrogea,,44.164757,28.598866,,,
1224,Dobrogea,,44.16491,28.598642,,,
1070,Dorna,,44.253815,28.61886,,,
1071,Dorna,,44.254906,28.618898,,,
1088,Dorobanti,,44.1986,28.647331,,,
1090,Dragoslavele,,44.201813,28.645792,,,
1263,Dumbraveni,,44.22922,28.59944,,,
1358,Dumitru Marinescu,,44.17647,28.620356,,,
1359,Dumitru Marinescu,,44.17653,28.620777,,,
1024,Eliberarii,,44.1774,28.61464,,,
1025,Eliberarii,,44.17734,28.614628,,,
1566,Enel,,44.186844,28.640839,,,
1562,Facultativa,,44.131607,28.618176,,,
1567,Fagetului,,44.198948,28.651373,,,
1001,Faleza Nord,,44.20703,28.649464,,,
1335,Fantanele,,44.137024,28.607344,,,
1598,Fantanele,,44.137077,28.607353,,,
1166,Fantasio,,44.177204,28.649004,,,
1187,Fantasio,,44.17566,28.649553,,,
1049,Far,,44.15897,28.631618,,,
1050,Far,,44.15894,28.631662,,,
1170,Far,,44.15757,28.63001,,,
1116,Farului,,44.19245,28.633009,,,
1117,Farului,,44.192436,28.632973,,,
1058,Flora,,44.227306,28.627039,,,
1059,Flora,,44.229008,28.626568,,,
1338,Frunzelor,,44.18331,28.62594,,,
1339,Frunzelor,,44.183582,28.625216,,,
1214,Gara,,44.168633,28.632597,,,
1215,Gara,,44.168694,28.633568,,,
1572,Garda de mediu,,44.21314,28.6448,,,
1573,Garda de mediu,,44.21315,28.644203,,,
1204,Gheorghe Marinescu,,44.147617,28.624334,,,
1329,Gheorghe Marinescu,,44.155083,28.60735,,,
1330,Gheorghe Marinescu,,44.154655,28.606735,,,
1014,Ghiocel,,44.196026,28.62381,,,
